Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 5:48:02,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 5:45:10,1.20,1.09,4.00,0.30,0.30,34.31
오후 5:45:11,1.20,1.09,4.00,0.30,0.30,34.31
오후 5:45:12,1.20,1.09,4.00,0.30,0.30,34.16
오후 5:45:13,1.20,1.09,4.00,0.30,0.30,33.97
오후 5:45:14,1.20,1.09,4.00,0.30,0.30,33.83
오후 5:45:15,1.20,1.09,4.00,0.30,0.30,33.38
오후 5:45:16,1.20,1.09,4.00,0.30,0.30,33.26
오후 5:45:17,1.20,1.09,4.00,0.30,0.30,33.15
오후 5:45:18,1.20,1.09,4.00,0.30,0.30,32.84
오후 5:45:19,1.20,1.09,4.00,0.30,0.30,32.69
오후 5:45:20,1.20,1.10,4.00,0.30,0.30,32.52
오후 5:45:21,1.20,1.10,4.00,0.30,0.30,32.25
오후 5:45:22,1.20,1.10,4.00,0.30,0.30,32.07
오후 5:45:23,1.20,1.10,4.00,0.30,0.30,31.79
오후 5:45:24,1.20,1.10,4.00,0.30,0.30,31.79
오후 5:45:25,1.20,1.10,4.00,0.30,0.30,31.63
오후 5:45:26,1.20,1.10,4.00,0.30,0.30,31.23
오후 5:45:27,1.20,1.10,4.00,0.30,0.30,31.22
오후 5:45:28,1.20,1.10,4.00,0.30,0.30,30.78
오후 5:45:29,1.20,1.10,4.00,0.30,0.30,30.77
오후 5:45:30,1.20,1.10,4.00,0.30,0.30,30.43
오후 5:45:31,1.20,1.10,4.00,0.30,0.30,30.45
오후 5:45:32,1.20,1.10,4.00,0.30,0.30,30.18
오후 5:45:33,1.20,1.11,4.00,0.30,0.30,30.03
오후 5:45:34,1.20,1.11,4.00,0.30,0.30,29.86
오후 5:45:35,1.20,1.11,4.00,0.30,0.30,29.47
오후 5:45:36,1.20,1.11,4.00,0.30,0.30,29.63
오후 5:45:37,1.20,1.11,4.00,0.30,0.30,29.25
오후 5:45:38,1.20,1.11,4.00,0.30,0.30,29.09
오후 5:45:39,1.20,1.11,4.00,0.30,0.30,28.85
오후 5:45:40,1.20,1.11,4.00,0.30,0.30,28.89
오후 5:45:41,1.20,1.11,4.00,0.30,0.30,28.57
오후 5:45:42,1.20,1.11,4.00,0.30,0.30,28.46
오후 5:45:43,1.20,1.11,4.00,0.30,0.30,28.12
오후 5:45:44,1.20,1.11,4.00,0.30,0.30,28.09
오후 5:45:45,1.20,1.11,4.00,0.30,0.30,28.02
오후 5:45:46,1.20,1.12,4.00,0.30,0.30,27.81
오후 5:45:47,1.20,1.12,4.00,0.30,0.30,27.64
오후 5:45:48,1.20,1.12,4.00,0.30,0.30,27.30
오후 5:45:49,1.20,1.12,4.00,0.30,0.30,27.30
오후 5:45:50,1.20,1.12,4.00,0.30,0.30,27.23
오후 5:45:51,1.20,1.12,4.00,0.30,0.30,26.99
오후 5:45:52,1.20,1.12,4.00,0.30,0.30,27.03
오후 5:45:53,1.20,1.12,4.00,0.30,0.30,26.43
오후 5:45:54,1.20,1.12,4.00,0.30,0.30,26.45
오후 5:45:55,1.20,1.12,4.00,0.30,0.30,26.48
오후 5:45:56,1.20,1.12,4.00,0.30,0.30,26.10
