Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 4:46:34,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 4:43:08,1.20,1.07,4.00,0.30,0.30,41.97
오후 4:43:09,1.20,1.07,4.00,0.30,0.30,41.71
오후 4:43:10,1.20,1.07,4.00,0.30,0.30,41.38
오후 4:43:11,1.20,1.07,4.00,0.30,0.30,41.19
오후 4:43:12,1.20,1.07,4.00,0.30,0.30,40.87
오후 4:43:13,1.20,1.07,4.00,0.30,0.30,40.61
오후 4:43:14,1.20,1.07,4.00,0.30,0.30,40.37
오후 4:43:15,1.20,1.07,4.00,0.30,0.30,40.12
오후 4:43:16,1.20,1.07,4.00,0.30,0.30,39.78
오후 4:43:17,1.20,1.07,4.00,0.30,0.30,39.55
오후 4:43:18,1.20,1.07,4.00,0.30,0.30,39.32
오후 4:43:19,1.20,1.07,4.00,0.30,0.30,39.07
오후 4:43:20,1.20,1.07,4.00,0.30,0.30,38.81
오후 4:43:21,1.20,1.07,4.00,0.30,0.30,38.54
오후 4:43:22,1.20,1.08,4.00,0.30,0.30,38.37
오후 4:43:23,1.20,1.08,4.00,0.30,0.30,38.10
오후 4:43:24,1.20,1.08,4.00,0.30,0.30,37.89
오후 4:43:25,1.20,1.08,4.00,0.30,0.30,37.57
오후 4:43:26,1.20,1.08,4.00,0.30,0.30,37.42
오후 4:43:27,1.20,1.08,4.00,0.30,0.30,37.21
오후 4:43:28,1.20,1.08,4.00,0.30,0.30,36.97
오후 4:43:29,1.20,1.08,4.00,0.30,0.30,36.76
오후 4:43:30,1.20,1.09,4.00,0.30,0.30,36.56
오후 4:43:31,1.20,1.09,4.00,0.30,0.30,36.32
오후 4:43:32,1.20,1.09,4.00,0.30,0.30,36.14
오후 4:43:33,1.20,1.09,4.00,0.30,0.30,35.82
오후 4:43:34,1.20,1.09,4.00,0.30,0.30,35.68
오후 4:43:35,1.20,1.09,4.00,0.30,0.30,35.44
오후 4:43:36,1.20,1.09,4.00,0.30,0.30,35.25
오후 4:43:37,1.20,1.09,4.00,0.30,0.30,35.04
오후 4:43:38,1.20,1.09,4.00,0.30,0.30,34.76
오후 4:43:39,1.20,1.09,4.00,0.30,0.30,34.60
오후 4:43:40,1.20,1.09,4.00,0.30,0.30,34.40
오후 4:43:41,1.20,1.09,4.00,0.30,0.30,34.15
오후 4:43:42,1.20,1.09,4.00,0.30,0.30,33.99
오후 4:43:43,1.20,1.10,4.00,0.30,0.30,33.80
오후 4:43:44,1.20,1.10,4.00,0.30,0.30,33.56
오후 4:43:45,1.20,1.10,4.00,0.30,0.30,33.32
오후 4:43:46,1.20,1.10,4.00,0.30,0.30,33.13
오후 4:43:47,1.20,1.10,4.00,0.30,0.30,32.99
오후 4:43:48,1.20,1.10,4.00,0.30,0.30,32.73
오후 4:43:49,1.20,1.10,4.00,0.30,0.30,32.60
오후 4:43:50,1.20,1.10,4.00,0.30,0.30,32.39
오후 4:43:51,1.20,1.10,4.00,0.30,0.30,32.18
오후 4:43:52,1.20,1.10,4.00,0.30,0.30,31.92
오후 4:43:53,1.20,1.10,4.00,0.30,0.30,31.78
오후 4:43:54,1.20,1.10,4.00,0.30,0.30,31.59
오후 4:43:55,1.20,1.10,4.00,0.30,0.30,31.44
오후 4:43:56,1.20,1.10,4.00,0.30,0.30,31.23
오후 4:43:57,1.20,1.10,4.00,0.30,0.30,31.03
오후 4:43:58,1.20,1.11,4.00,0.30,0.30,30.86
오후 4:43:59,1.20,1.11,4.00,0.30,0.30,30.73
오후 4:44:00,1.20,1.11,4.00,0.30,0.30,30.54
오후 4:44:01,1.20,1.11,4.00,0.30,0.30,30.34
오후 4:44:02,1.20,1.11,4.00,0.30,0.30,30.16
오후 4:44:03,1.20,1.11,4.00,0.30,0.30,29.96
오후 4:44:04,1.20,1.11,4.00,0.30,0.30,29.84
오후 4:44:05,1.20,1.11,4.00,0.30,0.30,29.63
오후 4:44:06,1.20,1.11,4.00,0.30,0.30,29.46
오후 4:44:07,1.20,1.11,4.00,0.30,0.30,29.18
오후 4:44:08,1.20,1.11,4.00,0.30,0.30,29.12
오후 4:44:09,1.20,1.11,4.00,0.30,0.30,28.94
오후 4:44:10,1.20,1.12,4.00,0.30,0.30,28.88
오후 4:44:11,1.20,1.12,4.00,0.30,0.30,28.70
오후 4:44:12,1.20,1.11,4.00,0.30,0.30,28.40
오후 4:44:13,1.20,1.12,4.00,0.30,0.30,28.32
오후 4:44:14,1.20,1.12,4.00,0.30,0.30,28.13
오후 4:44:15,1.20,1.12,4.00,0.30,0.30,27.97
오후 4:44:16,1.20,1.12,4.00,0.30,0.30,27.89
오후 4:44:17,1.20,1.12,4.00,0.30,0.30,27.70
오후 4:44:18,1.20,1.12,4.00,0.30,0.30,27.58
오후 4:44:19,1.20,1.12,4.00,0.30,0.30,27.46
오후 4:44:20,1.20,1.12,4.00,0.30,0.30,27.22
오후 4:44:21,1.20,1.12,4.00,0.30,0.30,27.03
오후 4:44:22,1.20,1.12,4.00,0.30,0.30,26.98
오후 4:44:23,1.20,1.12,4.00,0.30,0.30,26.87
오후 4:44:24,1.20,1.13,4.00,0.30,0.30,26.72
오후 4:44:25,1.20,1.12,4.00,0.30,0.30,26.55
오후 4:44:26,1.20,1.13,4.00,0.30,0.30,26.47
오후 4:44:27,1.20,1.13,4.00,0.30,0.30,26.30
오후 4:44:28,1.20,1.13,4.00,0.30,0.30,26.10
오후 4:44:29,1.20,1.13,4.00,0.30,0.30,25.96
