Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 6:23:08,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 6:22:48,1.20,1.30,8.00,0.30,0.30,43.76
오후 6:22:49,1.20,1.20,8.00,0.30,0.30,8.86
오후 6:22:50,1.20,1.13,8.00,0.30,0.30,8.50
오후 6:22:51,1.20,1.21,8.00,0.30,0.30,36.02
오후 6:22:52,1.20,1.30,8.00,0.30,0.30,43.57
오후 6:22:53,1.20,1.20,8.00,0.30,0.30,9.32
오후 6:22:54,1.20,1.13,8.00,0.30,0.30,8.46
오후 6:22:55,1.20,1.21,8.00,0.30,0.30,36.33
오후 6:22:56,1.20,1.30,8.00,0.30,0.30,43.84
오후 6:22:57,1.20,1.19,8.00,0.30,0.30,8.70
오후 6:22:58,1.20,1.13,8.00,0.30,0.30,9.03
오후 6:22:59,1.20,1.21,8.00,0.30,0.30,36.24
오후 6:23:00,1.20,1.30,8.00,0.30,0.30,43.73
오후 6:23:01,1.20,1.20,8.00,0.30,0.30,9.21
오후 6:23:02,1.20,1.13,8.00,0.30,0.30,9.30
오후 6:23:03,1.20,1.21,8.00,0.30,0.30,36.16
오후 6:23:04,1.20,1.29,8.00,0.30,0.30,43.72
오후 6:23:05,1.20,1.19,8.00,0.30,0.30,9.22
오후 6:23:06,1.20,1.13,8.00,0.30,0.30,9.41
오후 6:23:07,1.20,1.21,8.00,0.30,0.30,36.35
오후 6:23:08,1.20,1.29,8.00,0.30,0.30,43.63
